id	data_inversa	dia_semana	horario	uf	br	km	municipio	causa_acidente	tipo_acidente	classificacao_acidente	fase_dia	sentido_via	condicao_metereologica	tipo_pista	tracado_via	uso_solo	pessoas	mortos	feridos_leves	feridos_graves	ilesos	ignorados	feridos	veiculos	latitude	longitude	regional	delegacia	uop
553139	2023-10-06	sexta-feira	10:00:00	RJ	40	62	PETROPOLIS	Ausência de reação do condutor	Capotamento	Com Vítimas Feridas	Pleno dia	Decrescente	Céu Claro	Dupla	Reta	Não	1	0	1	0	0	0	1	1	-22,40542358	-43,14664526	SPRF-RJ	DEL05-RJ	UOP02-DEL05-RJ
553177	2023-10-02	segunda-feira	23:00:00	RJ	40	68	PETROPOLIS	Reação tardia ou ineficiente do condutor	Saída de leito carroçável	Com Vítimas Feridas	Plena Noite	Decrescente	Chuva	Dupla	Curva	Não	1	0	1	0	0	0	1	1	-22,4381808	-43,18488009	SPRF-RJ	DEL06-RJ	UOP01-DEL06-RJ
553193	2023-10-06	sexta-feira	11:30:00	RJ	40	91	PETROPOLIS	Reação tardia ou ineficiente do condutor	Saída de leito carroçável	Sem Vítimas	Pleno dia	Crescente	Nublado	Simples	Curva;Declive	Não	1	0	0	0	0	1	0	1	-22,54903566	-43,24229724	SPRF-RJ	DEL06-RJ	UOP01-DEL06-RJ
553447	2023-10-07	sábado	14:00:00	RJ	40	74	PETROPOLIS	Velocidade Incompatível	Tombamento	Com Vítimas Feridas	Pleno dia	Decrescente	Céu Claro	Simples	Curva	Não	1	0	1	0	0	0	1	1	-22,47224973	-43,22332717	SPRF-RJ	DEL06-RJ	UOP01-DEL06-RJ
553454	2023-10-07	sábado	14:45:00	RJ	40	86	PETROPOLIS	Demais falhas mecânicas ou elétricas	Incêndio	Sem Vítimas	Pleno dia	Decrescente	Céu Claro	Dupla	Reta	Não	1	0	0	0	1	0	0	1	-22,53575484	-43,23295774	SPRF-RJ	DEL06-RJ	UOP01-DEL06-RJ
553666	2023-10-08	domingo	16:50:00	RJ	40	73	PETROPOLIS	Ausência de reação do condutor	Saída de leito carroçável	Com Vítimas Feridas	Pleno dia	Crescente	Céu Claro	Dupla	Curva	Não	1	0	0	1	0	0	1	1	-22,46352401	-43,22321103	SPRF-RJ	DEL06-RJ	UOP01-DEL06-RJ
554001	2023-10-09	segunda-feira	21:27:00	RJ	40	75,5	PETROPOLIS	Ausência de reação do condutor	Colisão com objeto	Sem Vítimas	Plena Noite	Crescente	Chuva	Simples	Curva	Não	1	0	0	0	1	0	0	1	-22,46857126	-43,22958698	SPRF-RJ	DEL06-RJ	UOP01-DEL06-RJ
554110	2023-10-10	terça-feira	13:30:00	RJ	40	90	PETROPOLIS	Reação tardia ou ineficiente do condutor	Saída de leito carroçável	Com Vítimas Feridas	Pleno dia	Crescente	Garoa/Chuvisco	Simples	Curva	Não	2	0	1	0	1	0	1	1	-22,550738	-43,236397	SPRF-RJ	DEL06-RJ	UOP01-DEL06-RJ
554171	2023-10-10	terça-feira	20:30:00	RJ	40	59	PETROPOLIS	Pedestre cruzava a pista fora da faixa	Atropelamento de Pedestre	Com Vítimas Fatais	Plena Noite	Decrescente	Céu Claro	Dupla	Curva	Não	2	1	0	0	0	1	0	2	-22,38628773	-43,13543464	SPRF-RJ	DEL05-RJ	UOP02-DEL05-RJ
554961	2023-10-14	sábado	14:50:00	RJ	40	72	PETROPOLIS	Reação tardia ou ineficiente do condutor	Saída de leito carroçável	Com Vítimas Feridas	Pleno dia	Decrescente	Chuva	Simples	Curva	Não	2	0	1	0	1	0	1	1	-22,4585308	-43,21600514	SPRF-RJ	DEL06-RJ	UOP01-DEL06-RJ
555317	2023-09-10	domingo	15:30:00	RJ	40	47	PETROPOLIS	Ausência de sinalização	Colisão com objeto	Sem Vítimas	Pleno dia	Crescente	Sol	Simples	Retorno Regulamentado	Não	1	0	0	0	1	0	0	1	-22,29169833	-43,1279826	SPRF-RJ	DEL05-RJ	UOP02-DEL05-RJ
555348	2023-09-16	sábado	14:25:00	RJ	40	45	PETROPOLIS	Velocidade Incompatível	Saída de leito carroçável	Com Vítimas Feridas	Pleno dia	Crescente	Céu Claro	Simples	Reta	Sim	1	0	1	0	0	0	1	1	-22,31790714	-43,13215256	SPRF-RJ	DEL05-RJ	UOP02-DEL05-RJ
555704	2023-10-18	quarta-feira	09:30:00	RJ	40	87	PETROPOLIS	Reação tardia ou ineficiente do condutor	Saída de leito carroçável	Com Vítimas Feridas	Pleno dia	Crescente	Garoa/Chuvisco	Simples	Curva	Não	1	0	1	0	0	0	1	1	-22,54413793	-43,23287799	SPRF-RJ	DEL06-RJ	UOP01-DEL06-RJ
555715	2023-10-18	quarta-feira	11:00:00	RJ	40	73	PETROPOLIS	Reação tardia ou ineficiente do condutor	Saída de leito carroçável	Com Vítimas Feridas	Pleno dia	Decrescente	Garoa/Chuvisco	Simples	Curva	Não	1	0	1	0	0	0	1	1	-22,46352401	-43,22321103	SPRF-RJ	DEL06-RJ	UOP01-DEL06-RJ
558206	2023-10-30	segunda-feira	16:50:00	RJ	495	27,8	PETROPOLIS	Retorno proibido	Colisão transversal	Com Vítimas Feridas	Pleno dia	Decrescente	Céu Claro	Simples	Reta	Sim	3	0	1	0	2	0	1	2	-22,39634	-43,12386	SPRF-RJ	DEL06-RJ	UOP01-DEL06-RJ
558601	2023-11-01	quarta-feira	21:00:00	RJ	40	73	PETROPOLIS	Reação tardia ou ineficiente do condutor	Saída de leito carroçável	Com Vítimas Feridas	Plena Noite	Decrescente	Chuva	Dupla	Curva	Não	3	0	2	0	1	0	2	1	-22,46352401	-43,22321103	SPRF-RJ	DEL06-RJ	UOP01-DEL06-RJ
559422	2023-11-06	segunda-feira	03:30:00	RJ	40	43	PETROPOLIS	Reação tardia ou ineficiente do condutor	Colisão com objeto	Com Vítimas Feridas	Plena Noite	Decrescente	Céu Claro	Dupla	Curva	Não	1	0	1	0	0	0	1	1	-22,265139	-43,108506	SPRF-RJ	DEL05-RJ	UOP02-DEL05-RJ
560037	2023-11-09	quinta-feira	06:50:00	RJ	40	45,5	PETROPOLIS	Entrada inopinada do pedestre	Atropelamento de Pedestre	Com Vítimas Feridas	Pleno dia	Crescente	Céu Claro	Múltipla	Reta	Não	3	0	1	0	2	0	1	2	-22,27821816	-43,11580971	SPRF-RJ	DEL05-RJ	UOP02-DEL05-RJ
560777	2023-11-12	domingo	10:00:00	RJ	40	77	PETROPOLIS	Velocidade Incompatível	Tombamento	Com Vítimas Feridas	Pleno dia	Crescente	Céu Claro	Simples	Declive;Curva	Não	2	0	2	0	0	0	2	1	-22,48502075	-43,22740316	SPRF-RJ	DEL06-RJ	UOP01-DEL06-RJ
561382	2023-11-14	terça-feira	20:30:00	RJ	495	24,7	PETROPOLIS	Ausência de reação do condutor	Colisão frontal	Com Vítimas Feridas	Plena Noite	Crescente	Nublado	Simples	Curva	Sim	2	0	1	0	1	0	1	2	-22,409143	-43,094292	SPRF-RJ	DEL06-RJ	UOP01-DEL06-RJ
561669	2023-11-16	quinta-feira	14:15:00	RJ	40	56	PETROPOLIS	Reação tardia ou ineficiente do condutor	Colisão com objeto	Com Vítimas Fatais	Pleno dia	Decrescente	Céu Claro	Dupla	Reta	Sim	5	1	3	1	0	0	4	1	-22,36179383	-43,12627244	SPRF-RJ	DEL05-RJ	UOP02-DEL05-RJ
